Year,Month,Season,District,Urban_Rural,Sector,Consumption_MU,Population,Avg_Temp,Industrial_Index,Transmission_Loss_Percent,Production_Cost_Rs,Generation_Thermal,Generation_Hydro,Generation_Renewable
2004,1,Winter,Raipur,Urban,Residential,159.3,1182,22.8,19.6,12.1,2.54,0.852,0.1,0.048
2004,1,Winter,Raipur,Urban,Commercial,851.05,1182,22.8,19.6,12.1,2.54,0.852,0.1,0.048
2004,1,Winter,Raipur,Urban,Industrial,4980.06,1182,22.8,19.6,12.1,2.54,0.852,0.1,0.048
2004,1,Winter,Raipur,Urban,Agricultural,38.62,1182,22.8,19.6,12.1,2.54,0.852,0.1,0.048
2004,1,Winter,Raipur,Rural,Residential,143.9,1182,22.8,19.6,12.1,2.54,0.852,0.1,0.048
2004,1,Winter,Raipur,Rural,Commercial,309.15,1182,22.8,19.6,12.1,2.54,0.852,0.1,0.048
2004,1,Winter,Raipur,Rural,Industrial,1346.68,1182,22.8,19.6,12.1,2.54,0.852,0.1,0.048
2004,1,Winter,Raipur,Rural,Agricultural,98.35,1182,22.8,19.6,12.1,2.54,0.852,0.1,0.048
2004,1,Winter,Bilaspur,Urban,Residential,148.74,829,21.4,14.8,13.6,2.5,0.852,0.1,0.048
2004,1,Winter,Bilaspur,Urban,Commercial,695.37,829,21.4,14.8,13.6,2.5,0.852,0.1,0.048
2004,1,Winter,Bilaspur,Urban,Industrial,7025.84,829,21.4,14.8,13.6,2.5,0.852,0.1,0.048
2004,1,Winter,Bilaspur,Urban,Agricultural,48.52,829,21.4,14.8,13.6,2.5,0.852,0.1,0.048
2004,1,Winter,Bilaspur,Rural,Residential,249.63,829,21.4,14.8,13.6,2.5,0.852,0.1,0.048
2004,1,Winter,Bilaspur,Rural,Commercial,292.19,829,21.4,14.8,13.6,2.5,0.852,0.1,0.048
2004,1,Winter,Bilaspur,Rural,Industrial,2083.04,829,21.4,14.8,13.6,2.5,0.852,0.1,0.048
2004,1,Winter,Bilaspur,Rural,Agricultural,55.14,829,21.4,14.8,13.6,2.5,0.852,0.1,0.048
2004,1,Winter,Durg,Urban,Residential,332.03,725,22.0,17.2,12.5,2.49,0.852,0.1,0.048
2004,1,Winter,Durg,Urban,Commercial,354.18,725,22.0,17.2,12.5,2.49,0.852,0.1,0.048
2004,1,Winter,Durg,Urban,Industrial,7159.55,725,22.0,17.2,12.5,2.49,0.852,0.1,0.048
2004,1,Winter,Durg,Urban,Agricultural,63.98,725,22.0,17.2,12.5,2.49,0.852,0.1,0.048
2004,1,Winter,Durg,Rural,Residential,114.26,725,22.0,17.2,12.5,2.49,0.852,0.1,0.048
2004,1,Winter,Durg,Rural,Commercial,100.99,725,22.0,17.2,12.5,2.49,0.852,0.1,0.048
2004,1,Winter,Durg,Rural,Industrial,2931.63,725,22.0,17.2,12.5,2.49,0.852,0.1,0.048
2004,1,Winter,Durg,Rural,Agricultural,116.45,725,22.0,17.2,12.5,2.49,0.852,0.1,0.048
2004,1,Winter,Korba,Urban,Residential,410.07,582,22.2,38.8,14.8,2.54,0.852,0.1,0.048
2004,1,Winter,Korba,Urban,Commercial,760.89,582,22.2,38.8,14.8,2.54,0.852,0.1,0.048
2004,1,Winter,Korba,Urban,Industrial,20841.03,582,22.2,38.8,14.8,2.54,0.852,0.1,0.048
2004,1,Winter,Korba,Urban,Agricultural,38.69,582,22.2,38.8,14.8,2.54,0.852,0.1,0.048
2004,1,Winter,Korba,Rural,Residential,263.5,582,22.2,38.8,14.8,2.54,0.852,0.1,0.048
